getgid,getrandom,access,getdents64,fcntl,write,getcwd,geteuid,execve,dup,mmap,prctl,gettid,print,ioctl,openat,getuid,getegid,brk,pread64,isSorted,futex,close,exit_group,CPU Time (seconds)
1,2,1,18,1,1,2,1,1,3,27,0,0,1,28,37,1,1,7,4,0,1,37,1,0.77
1,4,1,20,1,1,2,1,1,3,27,0,0,0,28,42,1,1,7,4,0,1,42,1,0.01
1,4,1,20,1,1,2,1,1,3,27,0,0,0,28,42,1,1,7,4,0,1,42,1,0.01
1,2,1,18,1,2,2,1,1,3,27,0,0,0,24,37,1,1,15,4,0,1,37,1,0.01
1,2,1,20,1,1,2,1,1,3,27,0,0,0,25,39,1,1,8,4,0,1,39,1,0.01
1,4,1,20,1,1,2,1,1,3,27,0,0,0,28,42,1,1,7,4,0,1,42,1,0.01
1,4,1,20,1,1,2,1,1,3,27,0,0,0,28,42,1,1,7,4,0,1,42,1,0.01
1,2,1,18,1,8,2,1,1,3,27,0,0,1,24,37,1,1,7,4,0,1,37,1,0.39
1,2,1,18,1,1,2,1,1,3,27,0,0,0,24,37,1,1,7,4,0,1,37,1,0.01
1,2,1,18,1,1,2,1,1,3,27,0,0,0,24,37,1,1,7,4,0,1,37,1,0.01
1,2,1,18,1,1,2,1,1,3,27,0,0,0,24,37,1,1,7,4,0,1,37,1,0.01
1,2,1,18,1,0,2,1,1,3,27,0,0,1,28,37,1,1,7,4,0,1,37,1,0.01
1,2,1,18,1,1,2,1,1,3,27,0,0,0,24,37,1,1,7,4,0,1,37,1,0.01
1,2,1,18,1,1,2,1,1,3,27,0,0,0,24,37,1,1,7,4,0,1,37,1,0.02
1,2,1,18,1,1,2,1,1,3,27,0,0,0,24,37,1,1,7,4,0,1,37,1,0.07
1,2,1,18,1,1,2,1,1,3,27,0,0,0,24,37,1,1,7,4,0,1,37,1,0.07
1,2,1,18,1,1,2,1,1,3,27,0,0,0,24,37,1,1,7,4,0,1,37,1,0.07
1,2,1,18,1,2,2,1,1,3,27,0,0,0,24,37,1,1,7,4,0,1,37,1,0.01
1,4,2,48,3,4,3,1,1,3,126,6,1,0,142,214,1,1,27,4,0,18,216,1,0.35
1,4,2,48,3,4,3,1,1,3,126,6,1,0,142,214,1,1,28,4,0,18,216,1,0.01
1,4,2,48,3,4,3,1,1,3,126,6,1,0,142,214,1,1,28,4,0,18,216,1,34.54
1,2,1,18,1,1,2,1,1,3,27,0,0,0,24,37,1,1,7,4,0,1,37,1,1.61
1,4,2,48,3,4,3,1,1,3,126,6,1,1,146,214,1,1,28,4,0,18,216,1,0.07
1,2,1,20,1,3,2,1,1,3,28,0,0,0,36,50,1,1,9,4,0,1,50,1,0.79
1,4,2,48,3,4,3,1,1,3,126,6,1,1,146,214,1,1,28,4,0,18,216,1,0.59
1,4,2,48,3,4,3,1,1,3,126,6,1,0,146,214,1,1,27,4,0,18,216,1,0.37
1,4,2,48,3,4,3,1,1,3,126,6,1,0,146,214,1,1,26,4,0,18,216,1,0.53
1,4,2,48,3,4,3,1,1,3,126,6,1,1,154,214,1,1,28,4,0,18,216,1,5.25
